Times,Long strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,A2,0,0
1,,2360,2360
2,,712,3072
3,,215,3287
4,,-533,2754
5,,-973,1781
6,,-818,963
7,,1409,2372
8,,943,3315
9,,704,4019
10,,-576,3443
11,,2464,5907
12,,-1009,4898
13,,1467,6365
14,,-1367,4998
15,,-636,4362
16,,-1166,3196
17,,-789,2407
18,,-409,1998
19,,-1263,735
20,,-2102,-1367
21,,-1401,-2768
22,,-1103,-3871
23,,466,-3405
