Times,Short strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,B2,0,0
1,,-830,-830
2,,252,-578
3,,-1127,-1705
4,,1988,283
5,,2208,2491
6,,1033,3524
7,,-1305,2219
8,,-921,1298
9,,1407,2705
10,,-495,2210
11,,781,2991
12,,403,3394
13,,1376,4770
14,,-1907,2863
15,,-1830,1033
16,,207,1240
17,,-1552,-312
18,,-1137,-1449
19,,600,-849
20,,-353,-1202
21,,-711,-1913
22,,1005,-908
23,,-93,-1001
24,,-341,-1342
25,,-1283,-2625
26,,-1527,-4152
27,,-688,-4840
28,,18,-4822
29,,-253,-5075
30,,848,-4227
31,,-1465,-5692
32,,172,-5520
33,,-42,-5562
34,,-163,-5725
35,,-941,-6666
36,,-1581,-8247
37,,-2983,-11230
38,,994,-10236
39,,-314,-10550
40,,1398,-9152
41,,1798,-7354
42,,-1920,-9274
43,,-1021,-10295
44,,387,-9908
45,,1160,-8748
46,,-2866,-11614
47,,-757,-12371
48,,737,-11634
49,,352,-11282
50,,-171,-11453
51,,201,-11252
52,,-666,-11918
53,,-1523,-13441
54,,1537,-11904
55,,-1756,-13660
56,,806,-12854
57,,-788,-13642
58,,-548,-14190
59,,-272,-14462
60,,-497,-14959
61,,-2537,-17496
62,,288,-17208
63,,950,-16258
64,,-402,-16660
65,,1354,-15306
66,,-327,-15633
67,,-638,-16271
68,,-2262,-18533
69,,381,-18152
70,,-490,-18642
71,,-1809,-20451
72,,-1463,-21914
73,,2124,-19790
74,,-1245,-21035
