Times,Short strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,B3,0,0
1,,-221,-221
2,,1031,810
3,,1843,2653
4,,1036,3689
5,,859,4548
6,,2195,6743
7,,739,7482
8,,487,7969
9,,-57,7912
10,,-385,7527
11,,657,8184
12,,323,8507
13,,1000,9507
14,,-2389,7118
15,,-199,6919
16,,-260,6659
17,,114,6773
18,,-202,6571
19,,-888,5683
20,,-2334,3349
21,,413,3762
22,,995,4757
23,,61,4818
24,,-251,4567
25,,-1400,3167
26,,-696,2471
27,,-62,2409
28,,-937,1472
29,,748,2220
30,,-522,1698
31,,-1919,-221
32,,-2626,-2847
33,,2557,-290
34,,1692,1402
35,,-1365,37
36,,-296,-259
37,,-242,-501
38,,-843,-1344
39,,2526,1182
40,,-858,324
41,,-1633,-1309
42,,210,-1099
43,,25,-1074
44,,-55,-1129
45,,870,-259
46,,347,88
47,,-712,-624
48,,-329,-953
49,,-365,-1318
50,,-1172,-2490
51,,1331,-1159
52,,1139,-20
53,,-1148,-1168
54,,-1616,-2784
55,,614,-2170
56,,-1012,-3182
57,,643,-2539
58,,-1513,-4052
59,,-7,-4059
60,,1166,-2893
61,,50,-2843
62,,805,-2038
63,,-1256,-3294
64,,-158,-3452
65,,-1997,-5449
66,,-951,-6400
67,,798,-5602
68,,-763,-6365
