Times,Short strategy,Single_ profit_and_loss,Cumulative_ profit_and_loss
0,B5,0,0
1,,430,430
2,,458,888
3,,1147,2035
4,,602,2637
5,,489,3126
6,,1324,4450
7,,569,5019
8,,-2673,2346
9,,1967,4313
10,,-622,3691
11,,-774,2917
12,,226,3143
13,,783,3926
14,,-232,3694
15,,-1199,2495
16,,-940,1555
17,,-133,1422
18,,879,2301
19,,405,2706
20,,1494,4200
21,,-1775,2425
22,,1466,3891
23,,-901,2990
24,,1289,4279
25,,388,4667
26,,-1301,3366
27,,-643,2723
28,,-2017,706
